gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
AKAP10,41862.333333333336,4.7487525013444944,31337.833333333332,6.5740274073151665,PMC9854651,pmcid
AKAP12,362820.0,5.7838440501818456,340686.6666666667,4.51103621783709,PMC9854651,pmcid
AKAP13,77858.5,5.566474811239079,43299.0,5.725138139177964,PMC9854651,pmcid
AKAP2,166971.66666666666,5.866621056253241,169708.33333333334,5.485375935095017,PMC9854651,pmcid
AKAP8L,189090.0,5.849642544107917,155941.66666666666,5.809138682627592,PMC9854651,pmcid
AKAP9,65694.66666666667,5.380690510654311,59954.166666666664,5.801408283921462,PMC9854651,pmcid
AKR1A1,1188131.6666666667,4.898904272853625,1186130.0,5.409138161153864,PMC9854651,pmcid
AKR1B1,779145.0,4.566896882378651,777038.3333333334,4.923088515442399,PMC9854651,pmcid
AKR1C1,73382.5,4.346603958032991,52208.5,4.676916033339999,PMC9854651,pmcid
AKR1C2,62656.833333333336,4.339789535960214,60841.833333333336,4.410436973048742,PMC9854651,pmcid
AKR1C3,154708.33333333334,5.608133636384214,90818.83333333333,4.207567948192364,PMC9854651,pmcid
AKR7A2,481778.3333333333,4.816490864719075,381865.0,5.408087256813191,PMC9854651,pmcid
AKT1,88765.83333333333,5.504613564933017,79461.16666666667,4.550567500418477,PMC9854651,pmcid
AKT2,143759.0,5.631269542748029,106355.5,5.473073159188188,PMC9854651,pmcid
AKT3,120173.83333333333,5.100514137276882,143411.66666666666,5.590407099955085,PMC9854651,pmcid
ALAD,136871.33333333334,5.34478512263266,138258.33333333334,5.128329250322512,PMC9854651,pmcid
ALCAM,11751.333333333334,4.844117703732762,1603.5333333333335,5.309945838694033,PMC9854651,pmcid
ALDH16A1,249045.0,4.79829031006339,210945.0,4.729121574161424,PMC9854651,pmcid
ALDH18A1,454843.3333333333,5.374271643275979,424891.6666666667,4.655754529226568,PMC9854651,pmcid
ALDH1A3,871708.3333333334,5.038300846755026,1126300.0,5.27162866488874,PMC9854651,pmcid
ALDH1B1,111520.5,5.545111165448948,112814.16666666667,5.02742436251907,PMC9854651,pmcid
ALDH1L2,6335.75,5.552585079893216,4281.033333333334,5.461606061629932,PMC9854651,pmcid
ALDH2,126235.0,5.862574594786228,122550.0,5.482954530079902,PMC9854651,pmcid
ALDH3A2,151005.0,5.038740672211642,105925.16666666667,5.713448539662225,PMC9854651,pmcid
ALDH5A1,15412.5,4.30416116346088,30551.0,5.157985336637848,PMC9854651,pmcid
ALDH7A1,596963.3333333334,4.25041390262446,608941.6666666666,4.662614616774003,PMC9854651,pmcid
ALDH9A1,363335.0,4.389077443792349,382420.0,3.982541075275268,PMC9854651,pmcid
ALDOA,8980750.0,4.3688011619002,7636066.666666667,3.7866591602503274,PMC9854651,pmcid
ALDOC,2464333.3333333335,4.7805621189570635,2030400.0,4.558592583223165,PMC9854651,pmcid
ALG1,45830.166666666664,5.026011361886289,51832.0,4.7728141658007806,PMC9854651,pmcid
ALG5,53816.0,3.839917775678681,67267.16666666667,5.046046200405753,PMC9854651,pmcid
ALKBH5,49051.5,4.1413546467427675,47513.0,4.010920136263924,PMC9854651,pmcid
ALYREF,284878.3333333333,4.931117014126054,307440.0,4.993388462826204,PMC9854651,pmcid
AMACR,27186.833333333332,4.611305448133254,41392.166666666664,4.78517198893565,PMC9854651,pmcid
AMOTL1,132470.0,3.670171608355266,116472.66666666667,3.525610533704283,PMC9854651,pmcid
AMOTL2,36411.833333333336,5.0349638392964495,27861.0,4.930864166588473,PMC9854651,pmcid
AMPD2,133730.0,4.9920967457009695,128575.0,4.84276104974673,PMC9854651,pmcid
ANAPC1,34016.833333333336,4.543090817171405,26198.5,4.200810385077426,PMC9854651,pmcid
ANAPC2,103574.5,4.982001223037277,90254.0,4.785472203306388,PMC9854651,pmcid
ANAPC4,233903.33333333334,5.8195713522573795,158160.16666666666,5.765253678680421,PMC9854651,pmcid
ANAPC5,34364.166666666664,5.354191702968451,30203.5,5.297913635807866,PMC9854651,pmcid
ANAPC7,201626.66666666666,6.252715523064226,136688.33333333334,6.233833414884434,PMC9854651,pmcid
ANGEL2,10219.133333333333,4.548629125112071,6455.983333333334,4.735592246851851,PMC9854651,pmcid
ANGPTL2,,,568.7333333333333,5.805840548814673,PMC9854651,pmcid
ANK3,33964.33333333333,4.295472120564886,39009.0,4.214916037858705,PMC9854651,pmcid
ANKFY1,128598.33333333333,5.944013578266628,141298.33333333334,5.088195172365958,PMC9854651,pmcid
ANKHD1,35099.333333333336,5.086686022305319,25828.166666666668,5.188860546732332,PMC9854651,pmcid
ANKMY2,60672.5,5.196664296116152,31999.166666666668,4.438555532996488,PMC9854651,pmcid
ANKRD13A,24863.166666666668,4.853149421407901,16157.949999999999,5.725674828273515,PMC9854651,pmcid
ANKRD17,150559.33333333334,5.693844151591179,134826.66666666666,5.728864893339198,PMC9854651,pmcid
ANKRD28,78223.83333333333,5.724626714268649,81578.33333333333,5.533858874720209,PMC9854651,pmcid
ANKRD50,33054.833333333336,5.497622951282778,32776.666666666664,4.282236808665103,PMC9854651,pmcid
ANKRD52,32039.166666666668,4.877995842957823,22318.5,5.4897874452266855,PMC9854651,pmcid
ANKS1A,26327.0,5.540014382287858,22854.183333333334,5.9677702144751335,PMC9854651,pmcid
ANKZF1,32139.5,5.923912911021303,37348.0,4.75203051198375,PMC9854651,pmcid
ANLN,52294.5,4.530393955625891,25394.166666666668,5.1490137239157265,PMC9854651,pmcid
ANP32A,395416.6666666667,5.153509989300837,471688.3333333333,4.828578270713106,PMC9854651,pmcid
ANP32B,1029166.6666666666,5.015247953508249,1109950.0,4.496068966481467,PMC9854651,pmcid
ANP32E,468201.6666666667,4.6218234314930955,383888.3333333333,5.532355137071245,PMC9854651,pmcid
ANPEP,214785.0,5.5596912189895855,163321.66666666666,4.636477866341889,PMC9854651,pmcid
ANXA1,8473150.0,4.891306032467193,8461883.333333334,5.2297031683743915,PMC9854651,pmcid
ANXA11,1235800.0,5.222642782199817,1134116.6666666667,5.192962171543425,PMC9854651,pmcid
