gene,in_raghunath_168,in_darcy_s1_243,in_kegg_hsa04916,in_reactome_curated_union,in_reactome_r_hsa_5662702_precision,n_sets,darcy_phenotype_class,citation,citation_source,in_bajpai2023_crispr_169,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,n_sets_incl_bajpai
TYR,True,True,True,True,True,4,Hyperpigmentation|Hypopigmentation|Pigmentation phenotype,"gene_network_nodes.csv (per-gene UniProt/Entrez accession; Raghunath et al. 2015 BMC Res Notes)|PMC9854651 (D'Arcy & Kiel 2023 Table S1)|KEGG:hsa04916|Reactome:R-HSA-5662702+R-HSA-9730414|PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",accession_or_pmcid,True,4.1,0.00019277,reduces_pigmentation,False,5
TYRP1,True,True,True,True,True,4,Hypopigmentation,gene_network_nodes.csv (per-gene UniProt/Entrez accession; Raghunath et al. 2015 BMC Res Notes)|PMC9854651 (D'Arcy & Kiel 2023 Table S1)|KEGG:hsa04916|Reactome:R-HSA-5662702+R-HSA-9730414,accession_or_pmcid,False,,,,False,4
UBASH3A,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
UBE2E2,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
UBE2I,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
USF1,True,False,False,True,False,2,,gene_network_nodes.csv (per-gene UniProt/Entrez accession; Raghunath et al. 2015 BMC Res Notes)|Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,2
USP9X,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
UVSSA,False,True,False,False,False,1,Hyperpigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
VEGFA,False,True,False,False,False,1,Hyperpigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
WIF1,False,True,False,False,False,1,Hyperpigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
WNT1,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT10A,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT10B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT11,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
