species,dichromatism,family
Pygathrix_nemaeus,monochromatic,cercopithecidae
Pygathrix_nigripes,monochromatic,cercopithecidae
Rhinopithecus_bieti,monochromatic,cercopithecidae
Rhinopithecus_roxellana,monochromatic,cercopithecidae
Semnopithecus_entellus,monochromatic,cercopithecidae
Simias_concolor,monochromatic,cercopithecidae
Theropithecus_gelada,monochromatic,cercopithecidae
Trachypithecus_vetulus,monochromatic,cercopithecidae
Eulemur_flavifrons,dichromatic,lemuridae
Eulemur_macaco,dichromatic,lemuridae
Eulemur_mongoz,dichromatic,lemuridae
Eulemur_coronatus,monochromatic,lemuridae
Eulemur_fulvus,monochromatic,lemuridae
Eulemur_rubriventer,monochromatic,lemuridae
Hapalemur_griseus,monochromatic,lemuridae
Lemur_catta,monochromatic,lemuridae
Prolemur_simus,monochromatic,lemuridae
Varecia_variegata,monochromatic,lemuridae
