species,chosen_accession,assembly_level,annotated,dichromatism,family,pipeline_path
Trachypithecus vetulus,GCA_963574985.1,Scaffold,False,monochromatic,cercopithecidae,miniprot_extract_cds
Eulemur flavifrons,GCA_001262665.1,Scaffold,False,dichromatic,lemuridae,miniprot_extract_cds
Eulemur macaco,GCA_001262655.1,Scaffold,False,dichromatic,lemuridae,miniprot_extract_cds
Eulemur mongoz,GCA_028534055.1,Chromosome,False,dichromatic,lemuridae,miniprot_extract_cds
Eulemur coronatus,GCA_963574965.1,Scaffold,False,monochromatic,lemuridae,miniprot_extract_cds
Eulemur fulvus,GCA_963575015.1,Scaffold,False,monochromatic,lemuridae,miniprot_extract_cds
Eulemur rubriventer,GCA_963574895.1,Scaffold,False,monochromatic,lemuridae,miniprot_extract_cds
Hapalemur griseus,GCA_963575165.1,Scaffold,False,monochromatic,lemuridae,miniprot_extract_cds
Lemur catta,GCF_020740605.2,Chromosome,True,monochromatic,lemuridae,direct_download_cds
Prolemur simus,GCA_003258685.1,Scaffold,False,monochromatic,lemuridae,miniprot_extract_cds
Varecia variegata,GCA_028533085.1,Chromosome,False,monochromatic,lemuridae,miniprot_extract_cds
